question_id,website_id,split,target_version,question_type,question,expected_behavior,retrieval_label,freshness_sensitive,source_page_type,version_a,version_b,snapshot_version,stale_case_id,conflict_id,gold_answer,gold_available,gold_derivation,supporting_chunk_ids,citation_required_document_ids,retrieval_needed
Q00001,W001,train,V01,historical,"In website EDU-01-000, what did the pricing guidance say in V01, and how is that different from the current release? Benchmark case TRAIN-EDU-01-000-00.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing,V01,,,,,"In V01 the pricing guidance was: Reference EDU-01-000-01-02-09241 governs the pricing and commercial terms for Atlas Education North. The module workflow supports enrolment and records course information under the North operating profile. Version 1 specifies a threshold of 89 units and a listed service value of 437 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 30 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-01-02-09241. Difference from the current release (V10): workflow: 'module' -> 'lab'; action1: 'enrolment' -> 'attendance'; record: 'course' -> 'scholarship'; action2: 'enrolment' -> 'verification'; th: '89' -> '85'; sv: '437' -> '256'; day: 'Tuesday' -> 'Thursday'; time: '08:00' -> '10:00'; min: '30' -> '61'.",yes,historical_pricing_doc_and_diff,"[""W001_V01_P02_C1"", ""W001_V01_P02_C2""]","[""W001_V01_P02"", ""W001_V10_P02""]",yes
Q00002,W001,train,V02,comparison,"Between V01 and V02, what changed for the lab workflow on EDU-01-000? Benchmark case TRAIN-EDU-01-000-01.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy,V01,V02,,,,Between V01 and V02 the policy page changed in: workflow: 'assessment' -> 'scholarship'; record: 'lab' -> 'course'; action2: 'verification' -> 'attendance'; th: '86' -> '68'; sv: '329' -> '75'; day: 'Sunday' -> 'Monday'; time: '13:00' -> '07:00'; min: '162' -> '85'.,yes,comparison_policy_doc_diff,"[""W001_V01_P03_C1"", ""W001_V01_P03_C2"", ""W001_V02_P03_C1"", ""W001_V02_P03_C2""]","[""W001_V01_P03"", ""W001_V02_P03""]",yes
Q00003,W001,train,V03,change_detection,Which lifecycle change type should be assigned to the V03 update affecting withdrawal on EDU-01-000? Benchmark case TRAIN-EDU-01-000-02.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support,V02,V03,,,,The V03 support update is classified as policy.,yes,change_detection_changes_lookup,"[""W001_V03_P04_C1"", ""W001_V03_P04_C2""]","[""W001_V03_P04""]",yes
Q00004,W001,train,V04,policy,What is the current operating rule for withdrawal in the North profile of Atlas Education North? Benchmark case TRAIN-EDU-01-000-03.,Use the latest authoritative policy content.,retrieval_needed,yes,faq,,,,,,"The current operating rule (V04) recorded on the FAQ page is: Reference EDU-01-000-04-05-13207 governs the frequently asked questions for Atlas Education North. The module workflow supports withdrawal and records course information under the North operating profile. Version 4 specifies a threshold of 26 units and a listed service value of 193 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 195 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-04-05-13207.",yes,policy_faq_doc,"[""W001_V04_P05_C1"", ""W001_V04_P05_C2""]","[""W001_V04_P05""]",yes
Q00005,W001,train,V05,requirement,What information is required before withdrawal for reference EDU-01-000 in V05? Benchmark case TRAIN-EDU-01-000-04.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements,,,,,,"The information required (V05) is defined on the requirements page: Reference EDU-01-000-05-06-14529 governs the eligibility and requirements for Atlas Education North. The scholarship workflow supports enrolment and records course information under the North operating profile. Version 5 specifies a threshold of 84 units and a listed service value of 252 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 69 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-05-06-14529.",yes,requirement_doc,"[""W001_V05_P06_C1"", ""W001_V05_P06_C2""]","[""W001_V05_P06""]",yes
Q00006,W001,train,V06,stale,"If the index still contains V04 for EDU-01-000, can it safely answer a current question about lab? Benchmark case TRAIN-EDU-01-000-05.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule,V04,V06,V04,ST0801,,"Stale: the index contains V04 while the current release is V06; selective refresh of the schedule page chunks [W001_V04_P07_C1, W001_V04_P07_C2, W001_V06_P07_C1, W001_V06_P07_C2] from V04 to V06 is required before answering.",yes,stale_case_linked,"[""W001_V04_P07_C1"", ""W001_V04_P07_C2"", ""W001_V06_P07_C1"", ""W001_V06_P07_C2""]","[""W001_V04_P07"", ""W001_V06_P07""]",yes
Q00007,W001,train,V07,conflict,"If an older security snapshot disagrees with the latest EDU-01-000 release about withdrawal, which source should govern the answer? Benchmark case TRAIN-EDU-01-000-06.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security,V05,V07,V05,,CF0001,The latest authoritative security release (V07) governs; the older snapshot (V05) is superseded. Conflict resolution rule: prefer the current authoritative source and cite it.,yes,conflict_prefer_current,"[""W001_V07_P08_C1"", ""W001_V07_P08_C2""]","[""W001_V05_P08"", ""W001_V07_P08""]",yes
Q00008,W001,train,V08,multi_document,"For EDU-01-000, combine the services and support guidance to explain how withdrawal is handled. Benchmark case TRAIN-EDU-01-000-07.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services,,,,,,"Combined guidance (V08): services page says Reference EDU-01-000-08-09-18495 governs the available services for Atlas Education North. The scholarship workflow supports attendance and records module information under the North operating profile. Version 8 specifies a threshold of 21 units and a listed service value of 429 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 53 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-08-09-18495. support page says Reference EDU-01-000-08-04-16930 governs the support procedure for Atlas Education North. The lab workflow supports submission and records scholarship information under the North operating profile. Version 8 specifies a threshold of 36 units and a listed service value of 127 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 117 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-08-04-16930.",yes,multi_document_services_support,"[""W001_V08_P09_C1"", ""W001_V08_P09_C2"", ""W001_V08_P04_C1"", ""W001_V08_P04_C2""]","[""W001_V08_P09"", ""W001_V08_P04""]",yes
Q00009,W001,train,V09,retrieval_control,Control EDU-01-000-08: what is 549 + 99? Benchmark case TRAIN-EDU-01-000-08.,Answer 648 without corpus retrieval.,retrieval_not_needed,no,contact,,,,,,549 + 99 = 648.,yes,retrieval_control_arithmetic,[],[],no
Q00010,W001,train,V10,freshness,"For Atlas Education North (EDU-01-000), what is the current published value associated with lab in version V10? Benchmark case TRAIN-EDU-01-000-09.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview,,,,,,"The current published value in V10 for the overview page: threshold 88 units, listed service value 364 units (reference EDU-01-000-10-01-18009, North profile).",yes,freshness_overview_doc,"[""W001_V10_P01_C1"", ""W001_V10_P01_C2""]","[""W001_V10_P01""]",yes
