question_id,website_id,split,target_version,question_type,question,expected_behavior,retrieval_label,freshness_sensitive,source_page_type
Q00001,W001,train,V01,historical,"In website EDU-01-000, what did the pricing guidance say in V01, and how is that different from the current release? Benchmark case TRAIN-EDU-01-000-00.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00002,W001,train,V02,comparison,"Between V01 and V02, what changed for the lab workflow on EDU-01-000? Benchmark case TRAIN-EDU-01-000-01.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00003,W001,train,V03,change_detection,Which lifecycle change type should be assigned to the V03 update affecting withdrawal on EDU-01-000? Benchmark case TRAIN-EDU-01-000-02.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00004,W001,train,V04,policy,What is the current operating rule for withdrawal in the North profile of Atlas Education North? Benchmark case TRAIN-EDU-01-000-03.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00005,W001,train,V05,requirement,What information is required before withdrawal for reference EDU-01-000 in V05? Benchmark case TRAIN-EDU-01-000-04.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00006,W001,train,V06,stale,"If the index still contains V04 for EDU-01-000, can it safely answer a current question about lab? Benchmark case TRAIN-EDU-01-000-05.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00007,W001,train,V07,conflict,"If an older security snapshot disagrees with the latest EDU-01-000 release about withdrawal, which source should govern the answer? Benchmark case TRAIN-EDU-01-000-06.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00008,W001,train,V08,multi_document,"For EDU-01-000, combine the services and support guidance to explain how withdrawal is handled. Benchmark case TRAIN-EDU-01-000-07.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00009,W001,train,V09,retrieval_control,Control EDU-01-000-08: what is 549 + 99? Benchmark case TRAIN-EDU-01-000-08.,Answer 648 without corpus retrieval.,retrieval_not_needed,no,contact
Q00010,W001,train,V10,freshness,"For Atlas Education North (EDU-01-000), what is the current published value associated with lab in version V10? Benchmark case TRAIN-EDU-01-000-09.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00011,W001,train,V01,historical,"In website EDU-01-000, what did the pricing guidance say in V01, and how is that different from the current release? Benchmark case TRAIN-EDU-01-000-10.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00012,W001,train,V02,comparison,"Between V01 and V02, what changed for the lab workflow on EDU-01-000? Benchmark case TRAIN-EDU-01-000-11.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00013,W001,train,V03,change_detection,Which lifecycle change type should be assigned to the V03 update affecting withdrawal on EDU-01-000? Benchmark case TRAIN-EDU-01-000-12.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00014,W001,train,V04,policy,What is the current operating rule for withdrawal in the North profile of Atlas Education North? Benchmark case TRAIN-EDU-01-000-13.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00015,W001,train,V05,requirement,What information is required before withdrawal for reference EDU-01-000 in V05? Benchmark case TRAIN-EDU-01-000-14.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00016,W001,train,V06,stale,"If the index still contains V04 for EDU-01-000, can it safely answer a current question about lab? Benchmark case TRAIN-EDU-01-000-15.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00017,W001,train,V07,conflict,"If an older security snapshot disagrees with the latest EDU-01-000 release about withdrawal, which source should govern the answer? Benchmark case TRAIN-EDU-01-000-16.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00018,W001,train,V08,multi_document,"For EDU-01-000, combine the services and support guidance to explain how withdrawal is handled. Benchmark case TRAIN-EDU-01-000-17.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00019,W001,train,V09,retrieval_control,Control EDU-01-000-18: what is 119 + 69? Benchmark case TRAIN-EDU-01-000-18.,Answer 188 without corpus retrieval.,retrieval_not_needed,no,contact
Q00020,W001,train,V10,freshness,"For Atlas Education North (EDU-01-000), what is the current published value associated with lab in version V10? Benchmark case TRAIN-EDU-01-000-19.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00021,W001,train,V01,historical,"In website EDU-01-000, what did the pricing guidance say in V01, and how is that different from the current release? Benchmark case TRAIN-EDU-01-000-20.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00022,W001,train,V02,comparison,"Between V01 and V02, what changed for the lab workflow on EDU-01-000? Benchmark case TRAIN-EDU-01-000-21.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00023,W001,train,V03,change_detection,Which lifecycle change type should be assigned to the V03 update affecting withdrawal on EDU-01-000? Benchmark case TRAIN-EDU-01-000-22.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00024,W001,train,V04,policy,What is the current operating rule for withdrawal in the North profile of Atlas Education North? Benchmark case TRAIN-EDU-01-000-23.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00025,W001,train,V05,requirement,What information is required before withdrawal for reference EDU-01-000 in V05? Benchmark case TRAIN-EDU-01-000-24.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00026,W001,train,V06,stale,"If the index still contains V04 for EDU-01-000, can it safely answer a current question about lab? Benchmark case TRAIN-EDU-01-000-25.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00027,W002,train,V01,comparison,"Between V01 and V01, what changed for the deployment workflow on SOF-01-037? Benchmark case TRAIN-SOF-01-037-00.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00028,W002,train,V02,change_detection,Which lifecycle change type should be assigned to the V02 update affecting rollback on SOF-01-037? Benchmark case TRAIN-SOF-01-037-01.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00029,W002,train,V03,policy,What is the current operating rule for rollback in the South profile of Atlas Software South? Benchmark case TRAIN-SOF-01-037-02.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00030,W002,train,V04,requirement,What information is required before rollback for reference SOF-01-037 in V04? Benchmark case TRAIN-SOF-01-037-03.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00031,W002,train,V05,stale,"If the index still contains V03 for SOF-01-037, can it safely answer a current question about deployment? Benchmark case TRAIN-SOF-01-037-04.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00032,W002,train,V06,conflict,"If an older security snapshot disagrees with the latest SOF-01-037 release about rollback, which source should govern the answer? Benchmark case TRAIN-SOF-01-037-05.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00033,W002,train,V07,multi_document,"For SOF-01-037, combine the services and support guidance to explain how rollback is handled. Benchmark case TRAIN-SOF-01-037-06.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00034,W002,train,V08,retrieval_control,Control SOF-01-037-07: what is 495 + 145? Benchmark case TRAIN-SOF-01-037-07.,Answer 640 without corpus retrieval.,retrieval_not_needed,no,contact
Q00035,W002,train,V09,freshness,"For Atlas Software South (SOF-01-037), what is the current published value associated with deployment in version V09? Benchmark case TRAIN-SOF-01-037-08.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00036,W002,train,V10,historical,"In website SOF-01-037, what did the pricing guidance say in V10, and how is that different from the current release? Benchmark case TRAIN-SOF-01-037-09.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00037,W002,train,V01,comparison,"Between V01 and V01, what changed for the deployment workflow on SOF-01-037? Benchmark case TRAIN-SOF-01-037-10.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00038,W002,train,V02,change_detection,Which lifecycle change type should be assigned to the V02 update affecting rollback on SOF-01-037? Benchmark case TRAIN-SOF-01-037-11.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00039,W002,train,V03,policy,What is the current operating rule for rollback in the South profile of Atlas Software South? Benchmark case TRAIN-SOF-01-037-12.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00040,W002,train,V04,requirement,What information is required before rollback for reference SOF-01-037 in V04? Benchmark case TRAIN-SOF-01-037-13.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00041,W002,train,V05,stale,"If the index still contains V03 for SOF-01-037, can it safely answer a current question about deployment? Benchmark case TRAIN-SOF-01-037-14.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00042,W002,train,V06,conflict,"If an older security snapshot disagrees with the latest SOF-01-037 release about rollback, which source should govern the answer? Benchmark case TRAIN-SOF-01-037-15.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00043,W002,train,V07,multi_document,"For SOF-01-037, combine the services and support guidance to explain how rollback is handled. Benchmark case TRAIN-SOF-01-037-16.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00044,W002,train,V08,retrieval_control,Control SOF-01-037-17: what is 965 + 115? Benchmark case TRAIN-SOF-01-037-17.,Answer 1080 without corpus retrieval.,retrieval_not_needed,no,contact
Q00045,W002,train,V09,freshness,"For Atlas Software South (SOF-01-037), what is the current published value associated with deployment in version V09? Benchmark case TRAIN-SOF-01-037-18.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00046,W002,train,V10,historical,"In website SOF-01-037, what did the pricing guidance say in V10, and how is that different from the current release? Benchmark case TRAIN-SOF-01-037-19.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00047,W002,train,V01,comparison,"Between V01 and V01, what changed for the deployment workflow on SOF-01-037? Benchmark case TRAIN-SOF-01-037-20.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00048,W002,train,V02,change_detection,Which lifecycle change type should be assigned to the V02 update affecting rollback on SOF-01-037? Benchmark case TRAIN-SOF-01-037-21.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00049,W002,train,V03,policy,What is the current operating rule for rollback in the South profile of Atlas Software South? Benchmark case TRAIN-SOF-01-037-22.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00050,W002,train,V04,requirement,What information is required before rollback for reference SOF-01-037 in V04? Benchmark case TRAIN-SOF-01-037-23.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00051,W002,train,V05,stale,"If the index still contains V03 for SOF-01-037, can it safely answer a current question about deployment? Benchmark case TRAIN-SOF-01-037-24.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00052,W002,train,V06,conflict,"If an older security snapshot disagrees with the latest SOF-01-037 release about rollback, which source should govern the answer? Benchmark case TRAIN-SOF-01-037-25.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00053,W003,train,V01,change_detection,Which lifecycle change type should be assigned to the V01 update affecting modification on TRA-01-074? Benchmark case TRAIN-TRA-01-074-00.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00054,W003,train,V02,policy,What is the current operating rule for modification in the East profile of Atlas Travel East? Benchmark case TRAIN-TRA-01-074-01.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00055,W003,train,V03,requirement,What information is required before modification for reference TRA-01-074 in V03? Benchmark case TRAIN-TRA-01-074-02.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00056,W003,train,V04,stale,"If the index still contains V02 for TRA-01-074, can it safely answer a current question about reservation? Benchmark case TRAIN-TRA-01-074-03.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00057,W003,train,V05,conflict,"If an older security snapshot disagrees with the latest TRA-01-074 release about modification, which source should govern the answer? Benchmark case TRAIN-TRA-01-074-04.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00058,W003,train,V06,multi_document,"For TRA-01-074, combine the services and support guidance to explain how modification is handled. Benchmark case TRAIN-TRA-01-074-05.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00059,W003,train,V07,retrieval_control,Control TRA-01-074-06: what is 441 + 191? Benchmark case TRAIN-TRA-01-074-06.,Answer 632 without corpus retrieval.,retrieval_not_needed,no,contact
Q00060,W003,train,V08,freshness,"For Atlas Travel East (TRA-01-074), what is the current published value associated with reservation in version V08? Benchmark case TRAIN-TRA-01-074-07.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00061,W003,train,V09,historical,"In website TRA-01-074, what did the pricing guidance say in V09, and how is that different from the current release? Benchmark case TRAIN-TRA-01-074-08.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
Q00062,W003,train,V10,comparison,"Between V09 and V10, what changed for the reservation workflow on TRA-01-074? Benchmark case TRAIN-TRA-01-074-09.",Retrieve both versions and identify the change.,retrieval_needed,yes,policy
Q00063,W003,train,V01,change_detection,Which lifecycle change type should be assigned to the V01 update affecting modification on TRA-01-074? Benchmark case TRAIN-TRA-01-074-10.,Retrieve the version pair and classify the change.,retrieval_needed,yes,support
Q00064,W003,train,V02,policy,What is the current operating rule for modification in the East profile of Atlas Travel East? Benchmark case TRAIN-TRA-01-074-11.,Use the latest authoritative policy content.,retrieval_needed,yes,faq
Q00065,W003,train,V03,requirement,What information is required before modification for reference TRA-01-074 in V03? Benchmark case TRAIN-TRA-01-074-12.,Retrieve the requirements and list the applicable information.,retrieval_needed,yes,requirements
Q00066,W003,train,V04,stale,"If the index still contains V02 for TRA-01-074, can it safely answer a current question about reservation? Benchmark case TRAIN-TRA-01-074-13.",Detect stale knowledge and refresh before answering.,retrieval_needed,yes,schedule
Q00067,W003,train,V05,conflict,"If an older security snapshot disagrees with the latest TRA-01-074 release about modification, which source should govern the answer? Benchmark case TRAIN-TRA-01-074-14.","Detect conflict, prefer current authoritative content, and cite it.",retrieval_needed,yes,security
Q00068,W003,train,V06,multi_document,"For TRA-01-074, combine the services and support guidance to explain how modification is handled. Benchmark case TRAIN-TRA-01-074-15.",Retrieve multiple relevant documents and synthesize with citations.,retrieval_needed,yes,services
Q00069,W003,train,V07,retrieval_control,Control TRA-01-074-16: what is 911 + 161? Benchmark case TRAIN-TRA-01-074-16.,Answer 1072 without corpus retrieval.,retrieval_not_needed,no,contact
Q00070,W003,train,V08,freshness,"For Atlas Travel East (TRA-01-074), what is the current published value associated with reservation in version V08? Benchmark case TRAIN-TRA-01-074-17.",Retrieve the current target version and answer with source evidence.,retrieval_needed,yes,overview
Q00071,W003,train,V09,historical,"In website TRA-01-074, what did the pricing guidance say in V09, and how is that different from the current release? Benchmark case TRAIN-TRA-01-074-18.",Retrieve the requested historical version and compare it with the latest.,retrieval_needed,yes,pricing
