conflict_id,website_id,version_a,version_b,conflict_type,scenario,expected_behavior,added_cover_gap,resolved_version,snapshot_is_newer,resolution_rule,split
CF0001,W001,V02,V04,policy,Two snapshots disagree in a controlled policy case; token CF-001-0001.,Detect the conflict and prefer the authoritative current source with citation.,,V04,no,prefer_authoritative_newer_of_pair,train
CF0002,W002,V03,V05,requirement,Two snapshots disagree in a controlled requirement case; token CF-002-0002.,Detect the conflict and prefer the authoritative current source with citation.,,V05,no,prefer_authoritative_newer_of_pair,train
CF0003,W003,V04,V06,schedule,Two snapshots disagree in a controlled schedule case; token CF-003-0003.,Detect the conflict and prefer the authoritative current source with citation.,,V06,no,prefer_authoritative_newer_of_pair,train
CF0004,W004,V05,V07,authority,Two snapshots disagree in a controlled authority case; token CF-004-0004.,Detect the conflict and prefer the authoritative current source with citation.,,V07,no,prefer_authoritative_newer_of_pair,train
CF0005,W005,V06,V08,numeric,Two snapshots disagree in a controlled numeric case; token CF-005-0005.,Detect the conflict and prefer the authoritative current source with citation.,,V08,no,prefer_authoritative_newer_of_pair,train
CF0006,W006,V07,V03,policy,Two snapshots disagree in a controlled policy case; token CF-006-0006.,Detect the conflict and prefer the authoritative current source with citation.,,V07,yes,prefer_authoritative_newer_of_pair,train
CF0007,W007,V01,V04,requirement,Two snapshots disagree in a controlled requirement case; token CF-007-0007.,Detect the conflict and prefer the authoritative current source with citation.,,V04,no,prefer_authoritative_newer_of_pair,train
CF0008,W008,V02,V05,schedule,Two snapshots disagree in a controlled schedule case; token CF-008-0008.,Detect the conflict and prefer the authoritative current source with citation.,,V05,no,prefer_authoritative_newer_of_pair,train
CF0009,W009,V03,V06,authority,Two snapshots disagree in a controlled authority case; token CF-009-0009.,Detect the conflict and prefer the authoritative current source with citation.,,V06,no,prefer_authoritative_newer_of_pair,train
CF0010,W010,V04,V07,numeric,Two snapshots disagree in a controlled numeric case; token CF-010-0010.,Detect the conflict and prefer the authoritative current source with citation.,,V07,no,prefer_authoritative_newer_of_pair,train
CF0011,W011,V05,V08,policy,Two snapshots disagree in a controlled policy case; token CF-011-0011.,Detect the conflict and prefer the authoritative current source with citation.,,V08,no,prefer_authoritative_newer_of_pair,train
CF0012,W012,V06,V03,requirement,Two snapshots disagree in a controlled requirement case; token CF-012-0012.,Detect the conflict and prefer the authoritative current source with citation.,,V06,yes,prefer_authoritative_newer_of_pair,train
CF0013,W013,V07,V04,schedule,Two snapshots disagree in a controlled schedule case; token CF-013-0013.,Detect the conflict and prefer the authoritative current source with citation.,,V07,yes,prefer_authoritative_newer_of_pair,train
CF0014,W014,V01,V05,authority,Two snapshots disagree in a controlled authority case; token CF-014-0014.,Detect the conflict and prefer the authoritative current source with citation.,,V05,no,prefer_authoritative_newer_of_pair,train
CF0015,W015,V02,V06,numeric,Two snapshots disagree in a controlled numeric case; token CF-015-0015.,Detect the conflict and prefer the authoritative current source with citation.,,V06,no,prefer_authoritative_newer_of_pair,train
CF0016,W016,V03,V07,policy,Two snapshots disagree in a controlled policy case; token CF-016-0016.,Detect the conflict and prefer the authoritative current source with citation.,,V07,no,prefer_authoritative_newer_of_pair,train
CF0017,W017,V04,V08,requirement,Two snapshots disagree in a controlled requirement case; token CF-017-0017.,Detect the conflict and prefer the authoritative current source with citation.,,V08,no,prefer_authoritative_newer_of_pair,train
CF0018,W018,V05,V03,schedule,Two snapshots disagree in a controlled schedule case; token CF-018-0018.,Detect the conflict and prefer the authoritative current source with citation.,,V05,yes,prefer_authoritative_newer_of_pair,train
CF0019,W019,V06,V04,authority,Two snapshots disagree in a controlled authority case; token CF-019-0019.,Detect the conflict and prefer the authoritative current source with citation.,,V06,yes,prefer_authoritative_newer_of_pair,train
CF0020,W020,V07,V05,numeric,Two snapshots disagree in a controlled numeric case; token CF-020-0020.,Detect the conflict and prefer the authoritative current source with citation.,,V07,yes,prefer_authoritative_newer_of_pair,train
CF0021,W021,V01,V06,policy,Two snapshots disagree in a controlled policy case; token CF-021-0021.,Detect the conflict and prefer the authoritative current source with citation.,,V06,no,prefer_authoritative_newer_of_pair,train
CF0022,W022,V02,V07,requirement,Two snapshots disagree in a controlled requirement case; token CF-022-0022.,Detect the conflict and prefer the authoritative current source with citation.,,V07,no,prefer_authoritative_newer_of_pair,train
CF0023,W023,V03,V08,schedule,Two snapshots disagree in a controlled schedule case; token CF-023-0023.,Detect the conflict and prefer the authoritative current source with citation.,,V08,no,prefer_authoritative_newer_of_pair,train
CF0024,W024,V04,V03,authority,Two snapshots disagree in a controlled authority case; token CF-024-0024.,Detect the conflict and prefer the authoritative current source with citation.,,V04,yes,prefer_authoritative_newer_of_pair,train
CF0025,W025,V05,V04,numeric,Two snapshots disagree in a controlled numeric case; token CF-025-0025.,Detect the conflict and prefer the authoritative current source with citation.,,V05,yes,prefer_authoritative_newer_of_pair,train
CF0026,W026,V06,V05,policy,Two snapshots disagree in a controlled policy case; token CF-026-0026.,Detect the conflict and prefer the authoritative current source with citation.,,V06,yes,prefer_authoritative_newer_of_pair,train
CF0027,W027,V07,V06,requirement,Two snapshots disagree in a controlled requirement case; token CF-027-0027.,Detect the conflict and prefer the authoritative current source with citation.,,V07,yes,prefer_authoritative_newer_of_pair,train
CF0028,W028,V01,V07,schedule,Two snapshots disagree in a controlled schedule case; token CF-028-0028.,Detect the conflict and prefer the authoritative current source with citation.,,V07,no,prefer_authoritative_newer_of_pair,train
CF0029,W029,V02,V08,authority,Two snapshots disagree in a controlled authority case; token CF-029-0029.,Detect the conflict and prefer the authoritative current source with citation.,,V08,no,prefer_authoritative_newer_of_pair,train
CF0030,W030,V03,V04,numeric,Two snapshots disagree in a controlled numeric case; token CF-030-0030.,Detect the conflict and prefer the authoritative current source with citation.,,V04,no,prefer_authoritative_newer_of_pair,train
CF0031,W031,V04,V05,policy,Two snapshots disagree in a controlled policy case; token CF-031-0031.,Detect the conflict and prefer the authoritative current source with citation.,,V05,no,prefer_authoritative_newer_of_pair,train
