document_id,website_id,version,page_id,page_type,title,url_path,content
W001_V01_P01,W001,V01,P01,overview,Service Overview,/overview/EDU-01-000/v1/,"Reference EDU-01-000-01-01-08928 governs the service overview for Atlas Education North. The course workflow supports enrolment and records module information under the North operating profile. Version 1 specifies a threshold of 13 units and a listed service value of 124 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 79 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-01-01-08928."
W001_V01_P02,W001,V01,P02,pricing,Pricing And Commercial Terms,/pricing/EDU-01-000/v1/,"Reference EDU-01-000-01-02-09241 governs the pricing and commercial terms for Atlas Education North. The module workflow supports enrolment and records course information under the North operating profile. Version 1 specifies a threshold of 89 units and a listed service value of 437 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 30 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-01-02-09241."
W001_V01_P03,W001,V01,P03,policy,Operating Policy,/policy/EDU-01-000/v1/,"Reference EDU-01-000-01-03-09554 governs the operating policy for Atlas Education North. The assessment workflow supports verification and records lab information under the North operating profile. Version 1 specifies a threshold of 86 units and a listed service value of 329 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 162 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-01-03-09554."
W001_V01_P04,W001,V01,P04,support,Support Procedure,/support/EDU-01-000/v1/,"Reference EDU-01-000-01-04-09867 governs the support procedure for Atlas Education North. The scholarship workflow supports verification and records scholarship information under the North operating profile. Version 1 specifies a threshold of 83 units and a listed service value of 221 units. The scheduled operating point is Friday at 11:00, with a standard handling duration of 113 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-01-04-09867."
W001_V01_P05,W001,V01,P05,faq,Frequently Asked Questions,/faq/EDU-01-000/v1/,"Reference EDU-01-000-01-05-10180 governs the frequently asked questions for Atlas Education North. The lab workflow supports verification and records module information under the North operating profile. Version 1 specifies a threshold of 80 units and a listed service value of 113 units. The scheduled operating point is Wednesday at 09:00, with a standard handling duration of 64 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-01-05-10180."
W001_V01_P06,W001,V01,P06,requirements,Eligibility And Requirements,/requirements/EDU-01-000/v1/,"Reference EDU-01-000-01-06-10493 governs the eligibility and requirements for Atlas Education North. The certificate workflow supports verification and records certificate information under the North operating profile. Version 1 specifies a threshold of 77 units and a listed service value of 426 units. The scheduled operating point is Monday at 07:00, with a standard handling duration of 196 minutes. For attendance, the requester follows the site-specific verification route associated with reference EDU-01-000-01-06-10493."
W001_V01_P07,W001,V01,P07,schedule,Timing And Scheduling,/schedule/EDU-01-000/v1/,"Reference EDU-01-000-01-07-10806 governs the timing and scheduling for Atlas Education North. The course workflow supports submission and records lab information under the North operating profile. Version 1 specifies a threshold of 74 units and a listed service value of 318 units. The scheduled operating point is Saturday at 12:00, with a standard handling duration of 147 minutes. For withdrawal, the requester follows the site-specific verification route associated with reference EDU-01-000-01-07-10806."
W001_V01_P08,W001,V01,P08,security,Security And Access,/security/EDU-01-000/v1/,"Reference EDU-01-000-01-08-11119 governs the security and access for Atlas Education North. The module workflow supports submission and records assessment information under the North operating profile. Version 1 specifies a threshold of 71 units and a listed service value of 210 units. The scheduled operating point is Thursday at 10:00, with a standard handling duration of 98 minutes. For enrolment, the requester follows the site-specific verification route associated with reference EDU-01-000-01-08-11119."
W001_V01_P09,W001,V01,P09,services,Available Services,/services/EDU-01-000/v1/,"Reference EDU-01-000-01-09-11432 governs the available services for Atlas Education North. The assessment workflow supports submission and records module information under the North operating profile. Version 1 specifies a threshold of 68 units and a listed service value of 102 units. The scheduled operating point is Tuesday at 08:00, with a standard handling duration of 49 minutes. For verification, the requester follows the site-specific verification route associated with reference EDU-01-000-01-09-11432."
W001_V01_P10,W001,V01,P10,contact,Contact Information,/contact/EDU-01-000/v1/,"Reference EDU-01-000-01-10-11745 governs the contact information for Atlas Education North. The scholarship workflow supports attendance and records certificate information under the North operating profile. Version 1 specifies a threshold of 65 units and a listed service value of 415 units. The scheduled operating point is Sunday at 13:00, with a standard handling duration of 181 minutes. For submission, the requester follows the site-specific verification route associated with reference EDU-01-000-01-10-11745."
