stale_test_id,website_id,stale_version,required_version,scenario,expected_behavior,added_cover_gap,split,stale_relation
ST0001,W001,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-001-0001.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0002,W002,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-002-0002.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0003,W003,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-003-0003.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0004,W004,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-004-0004.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0005,W005,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-005-0005.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0006,W006,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-006-0006.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0007,W007,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-007-0007.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0008,W008,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-008-0008.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0009,W009,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-009-0009.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0010,W010,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-010-0010.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0011,W011,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-011-0011.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0012,W012,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-012-0012.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0013,W013,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-013-0013.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0014,W014,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-014-0014.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0015,W015,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-015-0015.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0016,W016,V03,V05,Current-information request arrives while the index contains an older snapshot; case token ST-016-0016.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0017,W017,V04,V06,Current-information request arrives while the index contains an older snapshot; case token ST-017-0017.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0018,W018,V05,V07,Current-information request arrives while the index contains an older snapshot; case token ST-018-0018.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0019,W019,V06,V08,Current-information request arrives while the index contains an older snapshot; case token ST-019-0019.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0020,W020,V07,V09,Current-information request arrives while the index contains an older snapshot; case token ST-020-0020.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0021,W021,V01,V03,Current-information request arrives while the index contains an older snapshot; case token ST-021-0021.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
ST0022,W022,V02,V04,Current-information request arrives while the index contains an older snapshot; case token ST-022-0022.,"Detect staleness, update affected knowledge, then answer from the required current version.",,train,stale_older_than_required
